2.492.404;-25.0;1696.93;454
2.569.078;-25.0;1.674.868;193
2.677.504;-25.0;1642.12;50
2.704.254;-25.0;1627.44;19
2.715.404;-25.0;1.629.634;19
2.691.534;-25.0;1.648.168;21
2.655.462;-25.0;1674.97;14
2.693.202;-25.0;1670.18;10
2.685.794;-25.0;1.674.568;11
2630.97;-25.0;1.687.618;9
2.632.006;-25.0;1.686.614;7
2.653.488;-25.0;1.679.644;9
2.636.532;-25.0;1.694.214;4
2.613.176;-25.0;1.749.494;5
2.644.294;-25.0;1.680.786;8
2.635.398;-25.0;1.700.864;6
2.640.228;-25.0;1.697.582;12
2.689.334;-25.0;1.683.624;7
2.682.512;-25.0;1.686.662;3
2663.16;-25.0;1.676.782;2
2.661.964;-25.0;1.681.302;3
2678.06;-25.0;1.656.658;3
2.683.212;-25.0;1.687.006;5
