conf,9,10,batterycost
0 | 0 | 5,25353.54,27381.7,9000
0 | 2 | 4,25219.71,26976.0,9900
0 | 4 | 3,25082.91,26566.6,10800
0 | 6 | 2,24931.8,26470.0,11700
0 | 8 | 1,24976.89,26407.3,12600
0 | 10 | 0,25298.73,26596.9,13500
2 | 1 | 4,25244.46,26832.3,10350
2 | 3 | 3,25083.09,26566.4,11250
2 | 5 | 2,25122.15,26416.9,12150
2 | 7 | 1,24948.9,26453.8,13050
2 | 9 | 0,25307.82,26562.3,13950
4 | 0 | 4,25246.98,26860.0,10800
4 | 2 | 3,25024.05,26608.0,11700
4 | 4 | 2,25155.81,26514.7,12600
4 | 6 | 1,25132.59,26431.4,13500
4 | 8 | 0,25398.81,26620.6,14400
6 | 1 | 3,25188.3,26521.5,12150
6 | 3 | 2,25110.81,26504.1,13050
6 | 5 | 1,25221.78,26400.7,13950
6 | 7 | 0,25487.55,26720.7,14850
8 | 0 | 3,25231.59,26652.9,12600
8 | 2 | 2,25160.58,26463.9,13500
8 | 4 | 1,25283.88,26502.7,14400
8 | 6 | 0,25707.96,26778.4,15300
10 | 1 | 2,25241.4,26495.2,13950
10 | 3 | 1,25334.28,26497.7,14850
10 | 5 | 0,25776.54,26795.8,15750
12 | 0 | 2,25323.03,26580.0,14400
12 | 2 | 1,25520.31,26673.9,15300
12 | 4 | 0,25913.97,26889.7,16200
14 | 1 | 1,25518.78,26703.8,15750
14 | 3 | 0,25998.57,27009.1,16650
16 | 0 | 1,25640.91,26765.6,16200
16 | 2 | 0,26106.21,27184.9,17100
18 | 1 | 0,26296.11,27297.5,17550
20 | 0 | 0,26577.36,27522.8,18000
