3801.1;-50.0;1490.0;86
3753.29;-50.0;1516.66;90
3808.61;-50.0;1461.92;63
3852.94;-50.0;1380.73;59
3779.06;-50.0;1495.25;47
3814.19;-50.0;1406.85;34
3779.59;-50.0;1456.93;31
3821.63;-50.0;1419.04;26
3854.63;-50.0;1345.77;20
3854.89;-50.0;1381.1;9
3886.48;-50.0;1384.88;13
3911.46;-50.0;1363.5;10
3852.7;-50.0;1365.11;13
3908.19;-50.0;1351.62;10
3825.75;-50.0;1431.25;9
3936.55;-50.0;1305.2;6
3856.77;-50.0;1444.85;7
3895.35;-50.0;1385.5;4
3893.35;-50.0;1335.65;3
3956.2;-50.0;1354.38;4
3910.34;-50.0;1354.14;2
3968.22;-50.0;1368.04;2
3919.36;-50.0;1361.82;1
