x2,x,wire9,wire10,,,conf,,
2.886751346,0.577350269,22,5,0.577350269,2.886751346,0,0,5
2,0.4163332,27,13,0.4163332,2,0,2,4
2.081665999,0.305505046,33,28,0.305505046,2.081665999,0,4,3
3.055050463,0.305505046,34,32,0.305505046,3.055050463,0,6,2
4.358898944,0.4163332,33,34,0.4163332,4.358898944,0,8,1
5.773502692,0.577350269,21,26,0.577350269,5.773502692,0,10,0
1.527525232,0.404145188,24,12,0.404145188,1.527525232,2,1,4
0.577350269,0.251661148,31,22,0.251661148,0.577350269,2,3,3
1.732050808,0.2081666,30,32,0.2081666,1.732050808,2,5,2
3.214550254,0.321455025,28,30,0.321455025,3.214550254,2,7,1
4.725815626,0.493288286,17,24,0.493288286,4.725815626,2,9,0
2.309401077,0.4163332,19,10,0.4163332,2.309401077,4,0,4
1,0.230940108,27,19,0.230940108,1,4,2,3
1.154700538,0.115470054,27,26,0.115470054,1.154700538,4,4,2
2.516611478,0.230940108,23,26,0.230940108,2.516611478,4,6,1
4,0.4163332,14,17,0.4163332,4,4,8,0
2.516611478,0.251661148,23,22,0.251661148,2.516611478,6,1,3
2.081665999,0.057735027,24,28,0.057735027,2.081665999,6,3,2
2.645751311,0.152752523,19,27,0.152752523,2.645751311,6,5,1
3.785938897,0.351188458,10,12,0.351188458,3.785938897,6,7,0
4.041451884,0.305505046,19,19,0.305505046,4.041451884,8,0,3
3.464101615,0.115470054,18,24,0.115470054,3.464101615,8,2,2
3.511884584,0.115470054,15,20,0.115470054,3.511884584,8,4,1
4.163331999,0.305505046,7,10,0.305505046,4.163331999,8,6,0
4.932882862,0.2081666,15,21,0.2081666,4.932882862,10,1,2
4.725815626,0.152752523,11,18,0.152752523,4.725815626,10,3,1
5,0.288675135,6,7,0.288675135,5,10,5,0
6.429100507,0.305505046,12,18,0.305505046,6.429100507,12,0,2
6.08276253,0.230940108,8,10,0.230940108,6.08276253,12,2,1
6.110100927,0.305505046,4,4,0.305505046,6.110100927,12,4,0
7.505553499,0.321455025,7,9,0.321455025,7.505553499,14,1,1
7.371114796,0.351188458,3,3,0.351188458,7.371114796,14,3,0
8.96288644,0.4163332,5,7,0.4163332,8.96288644,16,0,1
8.717797887,0.4163332,2,2,0.4163332,8.717797887,16,2,0
10.11599394,0.493288286,1,1,0.493288286,10.11599394,18,1,0
11.54700538,0.577350269,0,0,0.577350269,11.54700538,20,0,0
